"","alternate_name","alternate_tsn","preferred_name","preferred_tsn","rationale","otu_metric_calc","otu_bcg_orwa","otu_bcg_orwa_worms","Taxon.Serial.Number.x","Rank.x","Phylum.x","Subphylum.x","Superclass.x","Class.x","Subclass.x","Infraclass.x","Superorder.x","Order.x","Suborder.x","Infraorder.x","Superfamily.x","Family.x","Subfamily.x","Custom.Subfamily.x","Tribe.x","Genus.Group.x","Subtribe.x","Genus.x","Species.Group.x","Subgenus.x","Species.x","Subspecies.x","Taxon.Serial.Number.y","Rank.y","Phylum.y","Subphylum.y","Superclass.y","Class.y","Subclass.y","Infraclass.y","Superorder.y","Order.y","Suborder.y","Infraorder.y","Superfamily.y","Family.y","Subfamily.y","Custom.Subfamily.y","Tribe.y","Genus.Group.y","Subtribe.y","Genus.y","Species.Group.y","Subgenus.y","Species.y","Subspecies.y"
"18","Afghanurus",NA,NA,NA,"Whether Afghanurus or Ecdyonurus has priority is in dispute. Until this is resolved we are using Ecdyonurus as recommended by Luke Jacobus at Mayfly Central","Ecdyonurus","Ecdyonurus","Ecdyonurus",-243,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","","",-243,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","",""
"19","Afghanurus criddlei",NA,NA,NA,"nomenclature","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei",-244,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","criddlei","",-244,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","criddlei",""
"48","Ampumixis",NA,NA,NA,"only one species in Genus","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar",114196,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ampumixis","","","","",114196,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ampumixis","","","",""
"55","Ancylidae",NA,NA,NA,NA,"Planorbidae","Planorbidae","Planorbidae",76568,"Family","Mollusca","","","Gastropoda","","","","Basommatophora","","","","Ancylidae","","","","","","","","","","",76568,"Family","Mollusca","","","Gastropoda","","","","Basommatophora","","","","Ancylidae","","","","","","","","","",""
"60","Antennella",NA,NA,NA,NA,NA,NA,NA,50378,"Genus","Cnidaria","","","Hydrozoa","Hydroidolina","","","Leptothecatae","","","","Halopterididae","","","","","","Antennella","","","","",50378,"Genus","Cnidaria","","","Hydrozoa","Hydroidolina","","","Leptothecatae","","","","Halopterididae","","","","","","Antennella","","","",""
"109","Baetis Rhodani Gr.",NA,NA,NA,NA,"Baetis Rhodani Group","Baetis Rhodani Group","Baetis Rhodani Group",-282,"Species Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","Baetis Rhodani Gr.","","","",-282,"Species Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","Baetis Rhodani Gr.","","",""
"119","Bibiocephala",NA,NA,NA,"monotypic","Bibiocephala grandis","Bibiocephala grandis","Bibiocephala grandis",121250,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Blephariceromorpha","","Blephariceridae","Blepharicerinae","","Blepharicerini","","","Bibiocephala","","","","",121250,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Blephariceromorpha","","Blephariceridae","Blepharicerinae","","Blepharicerini","","","Bibiocephala","","","",""
"135","Brachycentrus americanus",NA,NA,NA,NA,"Brachycentrus americanus complex","Brachycentrus americanus complex","Brachycentrus americanus complex",116912,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Brachycentrus","","Oligoplectrodes","americanus","",116912,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Brachycentrus","","Oligoplectrodes","americanus",""
"167","Camptomyia panelii",NA,NA,NA,NA,NA,NA,NA,123256,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Bibionomorpha","","Cecidomyiidae","Porricondylinae","","Asynaptini","","","Camptomyia","","","panelii","",123256,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Bibionomorpha","","Cecidomyiidae","Porricondylinae","","Asynaptini","","","Camptomyia","","","panelii",""
"191","Ceratopogonini",NA,NA,NA,"no need to take to tribe","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127526,"Tribe","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","Ceratopogonini","","","","","","","",127526,"Tribe","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","Ceratopogonini","","","","","","",""
"206","Chernovskiia",NA,NA,NA,NA,NA,NA,NA,129249,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Chernovskiia","","","","",129249,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Chernovskiia","","","",""
"209","Cheumatopsyche ela",NA,NA,NA,NA,NA,NA,NA,115415,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Cheumatopsyche","","Cheumatopsyche","ela","",115415,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Cheumatopsyche","","Cheumatopsyche","ela",""
"238","Clinocera",NA,NA,NA,NA,"Clinocera/Trichoclinocera","Clinocera/Trichoclinocera","Clinocera/Trichoclinocera",135849,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Clinocera","","","","",135849,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Clinocera","","","",""
"244","Clostoeca",NA,NA,NA,"monotypic","Clostoeca disjuncta","Clostoeca disjuncta","Clostoeca disjuncta",116013,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Stenophylacini","","","Clostoeca","","","","",116013,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Stenophylacini","","","Clostoeca","","","",""
"248","Cognettia",NA,NA,NA,"STE of Family for Enchytraeidae","Oligochaeta","Oligochaeta","Enchytraeidae",68552,"Genus","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Cognettia","","","","",68552,"Genus","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Cognettia","","","",""
